"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"S100A10",0.526244939755525,0.119395602331197,0.0287738952711341,0.0452546267078899,143
"COL6A1",0.547581421746526,0.11934910172331,0.0287273946632473,0.0466611860084352,144
"TNXB",0.536040957114204,0.119302053144191,0.0286803460841282,0.0434834855428914,145
"THBS1",0.524838575382725,0.119270775600335,0.0286490685402722,0.0480791653394913,146
"ECM1",0.523787342418172,0.119201176566131,0.0285794695060674,0.0462902651043375,147
"PLTP",0.547965288139024,0.118515408102863,0.0278937010428,0.0442239935113314,148
"MFNG",0.5447476573426,0.118313647692399,0.0276919406323359,0.0590415925277276,149
"ALCAM",0.529352167717718,0.118237708355494,0.0276160012954305,0.0576395667320037,150
"TNFSF13",0.544783404212962,0.11822210422205,0.0276003971619866,0.0245060099756724,151
"OGN",0.539784479368831,0.118011630921789,0.0273899238617255,0.047236545768075,152
"SFRP2",0.541429935309163,0.117751357010772,0.0271296499507087,0.0529165324689211,153
"HLA-DMB",0.536238939780824,0.117640371101146,0.0270186640410824,0.0447768886232466,154
"TGM2",0.545486380167416,0.117026294629904,0.0264045875698405,0.0295654369363937,155
"ADGRE5",0.525574823424209,0.116993669061396,0.0263719620013326,0.0404592046420194,156
"LFNG",0.5382873729405,0.116955882653939,0.0263341755938756,0.0518818317808538,157
"EFEMP2",0.539076553847711,0.116774041232423,0.0261523341723601,0.0448570749296298,158
"PSAP",0.531835200328211,0.11632498144365,0.0257032743835868,0.0437256221751996,159
"HMGB1",0.563611830784215,0.116039939054822,0.0254182319947588,0.0447787369928222,160
"CXCL8",0.539008084842173,0.115584759098792,0.0249630520387289,0.0151811388130896,161
"TNFSF12",0.542522277174634,0.115348098804286,0.0247263917442229,0.0477944271408352,162
"INHBA",0.545219791007298,0.115024321367768,0.0244026143077044,0.0619193905448649,163
"PTDSS1",0.518450197185236,0.114796829148403,0.0241751220883401,0.0385979570056458,164
"ABCA1",0.544733908546307,0.114594375537515,0.0239726684774513,0.0124900796528632,165
"FURIN",0.536193431265094,0.1135281921864,0.0229064851263369,0.0178312530266853,166
"ITGAL",0.531601470791232,0.113027831746306,0.0224061246862426,0.0158481799265816,167
"SPON2",0.538804327681112,0.112875154960369,0.0222534479003063,0.0507486019298024,168
"FBLN1",0.528261750683727,0.11271107177295,0.0220893647128872,0.0376175600675564,169
"IGFBP4",0.515265838475842,0.110116243749139,0.0194945366890753,0.0310067863140203,170
"MIF",0.546024508054319,0.110113832135721,0.0194921250756574,0.0269479677857375,171
"BACE1",0.508305372864606,0.109815731809186,0.0191940247491225,0.0280914651813067,172
"JAG1",0.523320295808102,0.10905987049424,0.0184381634341771,0.0208297481603011,173
"PAM",0.50433843267022,0.105199335174013,0.0145776281139494,0.0172182687433271,174
"LTB",0.538714273065393,0.105181111131466,0.0145594040714023,-0.00394341802420542,175
"PLAU",0.514947691329624,0.103418111281957,0.0127964042218934,-0.00183389555005677,176
"CKLF",0.446703341122485,0.0832046088264608,-0.00741709823360244,-0.0439194317386543,177
